year,date,type,registration,operator,fatalities,location,damage
2017,3 Jul 2017,Cessna 208B Super Cargomaster,N9714B,Martinaire,0,"near Alpine-Casparis Municipal Airport, TX",sub
2017,4 Jul 2017,Gulfstream Aerospace G-1159A Gulfstream III,YV2896,SATA-Serv. Coord. de Transp. Aéreo del Ejecutivo Nac'l,9,50 km WNW off Macanao,w/o
2017,10 Jul 2017,Lockheed KC-130T Hercules,165000,United States Marine Corps,16,"11 km WSW of Itta Bena, MS",w/o
2017,17 Jul 2017,Beechcraft B200 King Air,LV-ZTV,Aero Baires,0,"San Carlos de Bariloche International Airport, RN (BRC)",sub
2017,18 Jul 2017,Boeing 737-301 (SF),PK-YGG,Tri-MG Intra Asia Airlines,0,Wamena Airport (WMX),w/o
2017,19 Jul 2017,Embraer ERJ-170-200LR,N427YX,"Republic Airlines, opf American Eagle",0,"Minneapolis, Minnesota",non
2017,20 Jul 2017,de Havilland Canada DHC-8-106,C-FDWO,Air Creebec,0,74 km N of Val-d'Or,sub
2017,21 Jul 2017,Cessna 208 Caravan I,N802TW,Tailwind Air Service,0,"Lower East River, New York, NY",sub
2017,22 Jul 2017,Cessna 208B Grand Caravan,PK-RSD,Enggang Air Service,0,Sinak Airport (NKD),sub
2017,25 Jul 2017,PADC/Pilatus Britten-Norman BN-2A-26 Islander,8R-GRA,Roraima Airways,1,"0,25 km from Eteringbang Airport (SYET)",w/o
2017,26 Jul 2017,Raytheon Hawker 850XP,TC-MAN,Genel Havacilik,0,Mikonos Airport (JMK),min
2017,27 Jul 2017,Antonov An-2R,RA-40908,Aviation Technical Center Virazh,0,"1,7 km N of Poltavskaya, Krasnoarmeysky district",sub
2017,29 Jul 2017,Antonov An-74TK-100,UR-CKC,Cavok Air,0,São Tomé Island Airport (TMS/FPST),w/o
2017,1 Aug 2017,Boeing 777-212ER,9V-SQN,Singapore Airlines,0,en route Singapore-Bangkok,non
2017,3 Aug 2017,Boeing 737-9GPER (WL),PK-LJZ,Lion Air,0,Medan-Kualanamu International Airport (KNO),sub
2017,3 Aug 2017,ATR 72-500 (72-212A),PK-WFF,Wings Air,0,Medan-Kualanamu International Airport (KNO),sub
2017,4 Aug 2017,de Havilland Canada DHC-8-202Q Dash 8,P2-ANK,LinkPNG,0,72 km NW of Port Moresby,min
2017,4 Aug 2017,Cessna 208B Grand Caravan,N9829B,Kapowsin Air Sports,0,"Mulino State Airport, OR",sub
2017,5 Aug 2017,Airbus A330-323,N276AY,American Airlines,0,"East Hampton, New York",non
2017,5 Aug 2017,Lockheed P2V-5F Neptune,N410NA,"Neptune Aviation Services, opf U.S. Forest Service",0,"near Pocatello Airport, ID (PIH)",sub
2017,15 Aug 2017,Boeing 737-832 (WL),N377DA,Delta Air Lines,0,"New York-John F. Kennedy International Airport, NY (JFK)",min
2017,15 Aug 2017,Boeing 757-223 (WL),N175AN,American Airlines,0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
2017,15 Aug 2017,Viking Air DHC-6 Twin Otter 400,306,Fuerza Aérea del Peru - FAP,0,Iquitos-Coronel FAP Secada Vignetta International Airport (IQT),sub
2017,16 Aug 2017,Cessna 208B Grand Caravan,G-CPSS,Army Parachute Association,0,Netheravon Airport (EGDN),sub
2017,16 Aug 2017,Let L-410UVP-E3,FAH-322,Fuerza Aérea Hondureña,1,Comayagua-Palmerola Air Base (XPL),w/o
2017,19 Aug 2017,Learjet 25D,YV3191,Aeroquest,5,"2,5 km N off Naiguatá",w/o
2017,22 Aug 2017,Bombardier CRJ-701ER,N745SK,"SkyWest Airlines, opf American Eagle",0,"McKellar, Tennessee",non
2017,23 Aug 2017,Harbin Y-12-II,B-3817,Shanxi Success General Aviation,0,Zhuhai Jinwan Airport (ZUH),sub
2017,25 Aug 2017,Lockheed Hercules C.4 (C-130J-30),ZH873,Royal Air Force - RAF,0,Temporary Landing Zone,w/o
2017,26 Aug 2017,Boeing 747-281B(SF),ER-BAT,Fly Pro,0,Delhi-Indira Gandhi International Airport (DEL/VIDP),unk
2017,26 Aug 2017,Antonov An-2R,RA-33036,Aviakompaniya Feniks,0,"75 km W of Yeniseisk, Krasnoyarsk Territory",sub
2017,28 Aug 2017,Antonov An-26B,EK-26006,Coco Aviation,0,Maban Airstrip (HSMB),w/o
2017,2 Sep 2017,Antonov TR-301,RA-40462,Polemaks,0,"near Turinskaya Sloboda, Sverdlovsk region",sub
2017,2 Sep 2017,Antonov An-2V,RA-35171,private,2,Chernoye Airport,w/o
2017,3 Sep 2017,Cessna 680 Citation Sovereign,N378QS,NetJets,0,"Wilmington-New Castle County Airport, DE (ILG/KILG)",non
2017,4 Sep 2017,McDonnell Douglas MD-90-30,N938DN,Delta Air Lines,0,"near El Paso International Airport, TX (ELP/KELP)",non
2017,4 Sep 2017,British Aerospace BAe-125-700A,,Unknown,2,Hato Viejo,w/o
2017,4 Sep 2017,Antonov An-2P,YV2195,Aéreo Transporte La Montaña,0,La Paragua Airport (SVPU),sub
2017,5 Sep 2017,Antonov An-2R,YV2664,Unknown,1,Playa Linda,w/o
2017,5 Sep 2017,Boeing 737-8HG (WL),VT-AYB,Air India Express,0,Cochin International Airport (COK/VOCI),sub
2017,6 Sep 2017,Britten-Norman BN-2A-26 Islander,PJ-WEA,Windward Express Airways,0,Sint Maarten-Juliana Airport (SXM),w/o
2017,9 Sep 2017,Learjet 31A,XA-ZYZ,Transportes Aéreos Pegaso,0,Ciudad del Carmen Airport (CME),sub
2017,10 Sep 2017,Antonov An-26B,9S-AFL,Serve Air,0,Goma Airport (GOM),sub
2017,12 Sep 2017,Boeing 737-924ER (WL),N69813,United Airlines,0,"Los Angeles International Airport, CA (LAX)",min
2017,12 Sep 2017,Boeing 767-375ER,C-GHOZ,Air Canada,0,"Los Angeles International Airport, CA (LAX)",sub
2017,12 Sep 2017,Embraer EMB-120ER Brasilia,N121CZ,Air Charter Express,0,"Greeley-Weld County Airport, CO (GXY)",sub
2017,13 Sep 2017,Boeing 737-8FE (WL),VH-VUE,Virgin Australia Regional,0,"78 km ESE Adelaide Airport, SA",non
2017,13 Sep 2017,Canadair CL-600-2B19 Regional Jet CRJ-200ER,N261PS,"PSA Airlines, opf American Eagle",0,"Charlotte-Douglas International Airport, NC (CLT/KCLT)",sub
2017,13 Sep 2017,Britten-Norman BN-2A-26 Islander,C6-FYP,Golden Wings Charter,0,Nassau-Lynden Pindling International Airport (NAS),sub
2017,15 Sep 2017,Boeing 737-8AS (WL),EI-DLV,Ryanair,0,London-Stansted Airport (STN),min
2017,15 Sep 2017,Airbus A321-231 (WL),N137AA,American Airlines,0,Bridgetown-Grantley Adams International Airport (BGI),sub
2017,16 Sep 2017,Cessna 208B Grand Caravan,N786WW,Westwind Air Service,0,"Sedona Airport, AZ (SDX)",sub
2017,18 Sep 2017,de Havilland Canada DHC-8-402Q Dash 8,C-FQWE,WestJet Encore,0,"38 nm SW of Calgary International Airport, AB (YYC/CYYC)",non
2017,21 Sep 2017,Cessna 650 Citation VII,TC-KON,Avione Jet,0,Istanbul-Atatürk International Airport (IST),w/o
2017,24 Sep 2017,Beechcraft B200GT King Air 250,9M-WSK,Hornbill Skyways,0,Kuching Airport (KCH),sub
2017,25 Sep 2017,Boeing 737-8H4 (WL),N500WR,Southwest Airlines,0,"Sioux City, Iowa",non
2017,30 Sep 2017,Boeing 737-823 (WL),N841NN,American Airlines,0,"Washington-Ronald Reagan National Airport, DC (DCA)",min
2017,30 Sep 2017,Airbus A321-231,N982VJ,American Airlines,0,"Washington-Ronald Reagan National Airport, DC (DCA)",sub
2017,30 Sep 2017,Airbus A380-861,F-HPJE,Air France,0,over southern Greenland,sub
2017,30 Sep 2017,Antonov An-12B,EX-001,Air Force of the Democratic Republic of the Congo,8,ca 20 km NE of Kinshasa-N'Djili Airport (FIH),w/o
2017,2 Oct 2017,Boeing 737-7H4 (WL),N930WN,Southwest Airlines,0,"Chicago-Midway Airport, IL (MDW/KMDW)",sub
2017,2 Oct 2017,Cessna 208B Grand Caravan,PT-WRZ,Inácio Franco,0,"Pará de Minas Airport, MG",w/o
2017,3 Oct 2017,Cessna 208B Grand Caravan,YA12303,Afghan Air Force,0,Nili Airport,sub
2017,3 Oct 2017,Antonov An-28,UP-A2807,East Wing,5,28 km WNW of Almaty Airport (ALA),w/o
2017,4 Oct 2017,Antonov An-32B,AT-530,Servicio Aeronaval de la Marina Peru,0,Mazamari-Manuel Prado Ugarteche Aiport,sub
2017,4 Oct 2017,de Havilland Canada DHC-6 Twin Otter 300,8Q-ISB,Maldivian,0,off Malé-Velana International Airport (MLE),sub
2017,7 Oct 2017,ATR 42-500,SX-GRI,Sky Express,0,Athens-Elefthérios Venizélos International Airport (ATH/LGAV),non
2017,7 Oct 2017,Cessna 208B Grand Caravan,5Y-BNH,"Penial Air, opf Sigale Air",0,Xuddur Airport,sub
2017,12 Oct 2017,Embraer EMB-120ER Brasilia,D2-FDO,Guicango,7,119 km SW of Dundo,w/o
2017,13 Oct 2017,Airbus A320-214,RP-C3237,Cebu Pacific Air,0,Iloilo International Airport (ILO),unk
2017,14 Oct 2017,Boeing 737-838 (WL),VH-VZZ,Qantas,0,"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY)",min
2017,14 Oct 2017,Beechcraft 1900D,C-GORZ,Exploits Valley Air Services,0,"Moncton/Greater Moncton International Airport, NB (YQM)",sub
2017,14 Oct 2017,Antonov An-26-100,ER-AVB,Valan International Cargo Charter,4,"0,8 km S off Abidjan-Felix Houphouet Boigny Airport (ABJ/DIAP)",w/o
2017,15 Oct 2017,Boeing 767-328ER,N342AX,Omni Air International,0,"117 km from Honolulu, HI",non
2017,16 Oct 2017,British Aerospace 4100 Jetstream 41,G-MAJC,Eastern Airways,0,Chester/Hawarden Airport (CEG/EGNR),min
2017,17 Oct 2017,Cessna 208 Caravan I,PR-MPE,Greenpeace Brasil,1,"Rio Negro, Parque Nacional de Anavilhanas, AM",sub
2017,18 Oct 2017,Boeing 737-8JP (WL),EI-FJJ,Norwegian Air International,0,Aproximación al aeropuerto de Alicante,non
2017,19 Oct 2017,Beechcraft 200C Super King Air,OB-2077-P,Air Majoro,1,near Nuevo Saposoa,w/o
2017,21 Oct 2017,Beechcraft B200 King Air,N363JH,Bering Air,0,"Anchorage-Ted Stevens International Airport, AK (ANC)",sub
2017,21 Oct 2017,Beechcraft 200 Super King Air,C-GFSG,Transwest Air,0,"Prince Albert Airport, SK (YPA)",sub
2017,22 Oct 2017,Boeing 737-86N (WL),JA03GR,Spring Airlines Japan,0,40km east-northeast of Kumamoto Airport (KMJ/RJFT),non
2017,24 Oct 2017,Boeing 737-8GP (WL),PK-LBY,Batik Air,0,SE of Medan,non
2017,24 Oct 2017,ATR 72-212 (F),OY-CNJ,Mistral Air,0,Roma-Fiumicino Airport (FCO),w/o
2017,25 Oct 2017,Cessna 208B Grand Caravan,5H-THR,Coastal Aviation,0,Lobo Wildlife Lodge Airstrip,sub
2017,27 Oct 2017,Cessna 560 Citation V,N561VP,Private Jets LLC,0,"Akron/Canton Regional Airport, OH (CAK)",sub
2017,27 Oct 2017,Beechcraft B200 Super King Air,VH-LNK,Eastern Air Services,0,"Lord Howe Island Airport, NSW (LDH)",sub
2017,29 Oct 2017,Cessna 550 Citation Bravo,RA-67560,Tropic,0,Bremen Airport (BRE/EDDW),sub
2017,30 Oct 2017,Boeing 767-338ER (WL),C-FOGT,WestJet,0,Toronto - London,sub
2017,2 Nov 2017,Fairchild SA227-AC Metro III,C-FLRY,Perimeter Aviation,0,"Thompson Airport, MB (YTH)",sub
2017,6 Nov 2017,Cessna 208B Grand Caravan,C-FAKZ,Alkan Air,0,"Coffee Creek, YT",w/o
2017,7 Nov 2017,Antonov An-2,RA-02305,DalTransAero,1,"Ekimchan, Amur region",w/o
2017,8 Nov 2017,Avro RJ85,ZS-ASW,Airlink,0,over Limpopo province,sub
2017,9 Nov 2017,de Havilland Canada DHC-8-402Q Dash 8,C-GYJZ,"Air Canada Express, opb Jazz Aviation",0,"Toronto City-Billy Bishop Airport, ON (YTZ)",sub
2017,10 Nov 2017,de Havilland Canada DHC-8-402Q Dash 8,G-JEDU,Flybe,0,Belfast International Airport (BFS/EGAA),sub
2017,11 Nov 2017,Boeing 747-428FER,TC-ACR,"Saudi Arabian Airlines, opb ACT Airlines",0,Maastricht/Aachen Airport (MST),sub
2017,15 Nov 2017,Cessna 208B Grand Caravan,5H-EGG,Coastal Aviation,11,Empakaai area,w/o
2017,15 Nov 2017,Let L-410UVP-E20,RA-67047,Khabarovsk Avia,6,"1,2 km SSW of Nelkan Airport",w/o
2017,16 Nov 2017,Embraer ERJ-170LR,F-HBXO,"HOP!, opf Air France",0,Toulouse–Blagnac Airport (TLS/LFBO),non
2017,16 Nov 2017,de Havilland Canada DHC-6 Twin Otter 200HG,8Q-IAG,Maldivian,0,Dhaalu Atoll,sub
2017,17 Nov 2017,Cessna 208B Grand Caravan,V3-HGX,Tropic Air,0,E off Placencia Airport (PLJ),sub
2017,19 Nov 2017,Boeing 737-7H4,N740SW,Southwest Airlines,0,"Los Angeles International Airport, CA (LAX/KLAX)",non
2017,19 Nov 2017,ATR 72-600 (72-212A),VH-FVZ,Virgin Australia Airlines,0,"Canberra Airport, ACT (CBR/YSCB)",sub
2017,22 Nov 2017,Hawker Beechcraft 390 Premier IA,ZS-CBI,Multimanaged Investments Pty,0,Johannesburg/Germiston-Rand Airport (QRA),sub
2017,22 Nov 2017,Grumman C-2A Greyhound,162175,United States Navy,3,SE off Okinawa,w/o
2017,25 Nov 2017,ATR 72-500 (72-212A),9G-SBF,Starbow,0,Accra-Kotoka Airport (ACC),sub
2017,27 Nov 2017,Boeing 777-36NER,SU-GDL,EgyptAir,0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
2017,27 Nov 2017,Airbus A330-343,G-VRAY,Virgin Atlantic Airways,0,"New York-John F. Kennedy International Airport, NY (JFK)",sub
2017,27 Nov 2017,Embraer EMB-550 Legacy 500,RA-02788,L39 Engineering,0,Paris-Le Bourget Airport (LBG),sub
2017,28 Nov 2017,Boeing 757-224 (WL),N14115,United Airlines,0,over Antioquia,non
2017,28 Nov 2017,de Havilland Canada DHC-6 Twin Otter 300,9N-ABM,Tara Air,0,Simikot Airport (IMK),sub
2017,29 Nov 2017,Boeing 777-212ER,9V-SQK,Singapore Airlines,0,Singapore-Changi International Airport (SIN),sub
2017,1 Dec 2017,Airbus A319-111,G-EZFP,Easyjet,0,"Jersey-States Airport, Channel Islands (JER/EGJJ)",non
2017,2 Dec 2017,Boeing 777-35EER,B-16718,Eva Air,0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)",sub
2017,3 Dec 2017,Boeing 737-823 (WL),N344PP,American Airlines,0,"Miami International Airport, FL (MIA)",min
2017,3 Dec 2017,Airbus A319-115 (WL),N9011P,American Airlines,0,"Miami International Airport, FL (MIA)",min
2017,4 Dec 2017,Canadair CL-600-2A12 Challenger 601,N45WL,Private,0,Caracas-Simón Bolívar International Airport (CCS/SVMI),unk
2017,6 Dec 2017,Airbus A321-231,N670NK,Spirit Airlines,0,"Fort Lauderdale International Airport, FL (FLL/KFLL)",non
2017,8 Dec 2017,GAF Nomad N.22C,VH-ATO,Bayswater Road Pty Ltd / Australian Aerial Mapping,0,Buka Airport (BUA),sub
2017,8 Dec 2017,Airbus A321-231,A7-AIB,Qatar Airways,0,Doha-Hamad International Airport (DOH),w/o
2017,12 Dec 2017,McDonnell Douglas MD-88,N924DL,Delta Air Lines,0,"Detroit-Metropolitan Wayne County Airport, MI (DTW/KDTW)",sub
2017,13 Dec 2017,ATR 42-320,C-GWEA,West Wind Aviation,1,"1,5 km W of Fond-du-Lac Airport, SK (ZFD)",w/o
2017,14 Dec 2017,Cessna 510 Citation Mustang,OE-FWD,Skytaxi Luftfahrt,3,"Sieberatsreute, Waldburg",w/o
2017,17 Dec 2017,Embraer ERJ-170-200LR,N128SY,"United Express, opb SkyWest Airlines",0,"near Saint Louis, Missouri",non
2017,19 Dec 2017,Antonov TVS-2MS,RA-01460,Naryan-Mar Air Enterprise,4,Naryan-Mar Airport (NNM),w/o
2017,22 Dec 2017,Embraer EMB-145EP (ERJ-145EP),G-CKAG,bmi regional,0,Bristol Airport (BRS/EGGD),min
2017,23 Dec 2017,McDonnell Douglas DC-9-33F,N935CE,Everts Air Cargo,0,"between Anchorage and Bethel, AK",sub
2017,23 Dec 2017,Britten-Norman BN-2A Islander,P2-ISM,North Coast Aviation,1,"11,3 km S of Dinangat Village",w/o
2017,27 Dec 2017,Dassault Falcon 7X,VP-BZE,"Flying Lion's Co., Ltd.",0,Malta-Luqa Airport (MLA),sub
2017,27 Dec 2017,Cessna 525A CitationJet CJ2,N525KT,"Van E Aviation LLC, opb Integrated Flight Resources Inc.",0,"Michigan City Airport, IN (MGC)",sub
2017,31 Dec 2017,Cessna 208B Grand Caravan,TI-BEI,Nature Air,12,"0,6 km N of Punta Islita Airport (PBP)",w/o
2018,1 Jan 2018,Airbus A319-111,G-EZII,Easyjet,0,80 nm NE of Barcelona Airport (LEBL),non
2018,3 Jan 2018,Airbus A319-131,G-DBCA,British Airways,0,near Verona Villafranca,non
2018,4 Jan 2018,Gulfstream G150,OE-GKA,Private Airlines Germany,0+1,Kittilä Airport (KTT),sub
2018,5 Jan 2018,Boeing 737-8FH (WL),C-FPRP,Sunwing Airlines,0,"Toronto-Pearson International Airport, ON (YYZ)",sub
2018,5 Jan 2018,Boeing 737-8CT (WL),C-FDMB,WestJet,0,"Toronto–Lester B. Pearson International Airport, Ontario (YYZ)",sub
2018,6 Jan 2018,Boeing 777-369ER,9K-AOC,Kuwait Airways,0,"New York-John F. Kennedy International Airport, NY (JFK/KJFK)",sub
2018,6 Jan 2018,Antonov An-2TP,YV1944,Unknown,0,La Paragua Airport,w/o
2018,7 Jan 2018,Cessna 208B Grand Caravan,5Y-FDC,Unknown,0+1,Akobo Airport (HSAK),w/o
2018,9 Jan 2018,Embraer EMB-110P1 Bandeirante,C6-MIC,Pineapple Air,0,Governor's Harbour Airport (GHB),sub
2018,10 Jan 2018,de Havilland Canada DHC-8-402Q Dash 8,SP-EQG,LOT Polskie Linie Lotnicze,0,Warszawa-Frédéric Chopin Airport (WAW/EPWA),sub
2018,10 Jan 2018,Gulfstream G200,RP-C280,Air Taxi PH,0,Legazpi-Bicol International Airport (LGP),sub
2018,10 Jan 2018,Fairchild SA227-AT Merlin IVC,N561UP,Ameriflight,0,"Rock Springs-Sweetwater County Airport, WY (RKS)",sub
2018,13 Jan 2018,Boeing 737-82R (WL),TC-CPF,Pegasus Airlines,0,Trabzon Airport (TZX),sub
2018,15 Jan 2018,Airbus A319-111,5A-ONC,Afriqiyah Airways,0,Tripoli-Mitiga International Airport (MJI),sub
2018,16 Jan 2018,Antonov An-2,,Kazakhstan Air Defence Force,0,near Zhetygen Air Base,w/o
2018,16 Jan 2018,British Aerospace BAe-748-347 Srs. 2A,S2-AAX,Bismillah Airlines,0,Jessore Airport (JSR),sub
2018,17 Jan 2018,Embraer ERJ-190AR,5H-FJI,Fastjet,0+1,"Mwanza International Airport (HTMW), Mwanza",non
2018,17 Jan 2018,IPTN/CASA CN-235M-100,98-148,Türk Hava Kuvvetleri (Turkish Air Force),3,"Hodulluca Mevkii, Yalvaç district",w/o
2018,18 Jan 2018,Convair CV-580F,XA-TRB,Air Tribe,0,"Brownsville-South Padre Island International Airport, TX (BRO)",sub
2018,20 Jan 2018,Let L-410UVP,UR-VTV,Galeyr Airline,0,Mogadishu Aden Adde International Airport (MGQ),sub
2018,20 Jan 2018,Embraer EMB-120ER Brasilia,5Y-CEI,"Delegation of the EU to Somalia, lsf AirTraffic Africa",0,Mogadishu Aden Adde International Airport (MGQ),unk
2018,25 Jan 2018,Airbus A320,,Unknown,0,Berlin-Schönefeld Airport (SXF),sub
2018,25 Jan 2018,Gulfstream G200,5N-BTF,Nestoil,0,Abuja-Nnamdi Azikiwe International Airport (ABV/DNAA),sub
2018,29 Jan 2018,Shaanxi Y-8GX-3,30513,People's Liberation Army - Air Force - PLAAF,12,"Zhengchang, Suiyang County, Guizhou Province",w/o
2018,1 Feb 2018,Airbus A330-202,VH-...,Qantas,0,"Sydney-Kingsford Smith International Airport, NSW (SYD/YSSY)",non
2018,4 Feb 2018,Raytheon Beechjet 400A,N570TM,"Travel Management, Inc",0,"Cleveland-Burke Lakefront Airport, OH (BKL)",sub
2018,10 Feb 2018,Boeing 737-8AS (WL),EI-EKI,Ryanair,0,Canaries airspace,non
2018,11 Feb 2018,Antonov An-148-100B,RA-61704,Saratov Airlines,71,"near Stepanovskoye, Ramenskoye district",w/o
2018,13 Feb 2018,Airbus A330-223,N858NW,Delta Air Lines,0,Lagos-Murtala Muhammed International Airport (LOS/DNMM),non
2018,16 Feb 2018,Fokker 100,EP-FQF,Qeshm Air,0,Mashhad Airport (MHD),sub
2018,18 Feb 2018,ATR 72-212,EP-ATS,Iran Aseman Airlines,66,15 km NE of Yasuj Airport (YES),w/o
2018,20 Feb 2018,McDonnell Douglas MD-83,5N-SRI,Dana Air,0,Port Harcourt Airport (PHC),sub
2018,21 Feb 2018,Cessna 208B Grand Caravan,G-BZAH,Army Parachute Association,0,Netheravon Airport (EGDN),min
2018,23 Feb 2018,Beechcraft B100 King Air,C-GIAE,Island Express Air,0,"Abbotsford Airport, BC (YXX/CYXX)",sub
2018,24 Feb 2018,Airbus A330-323,N817NW,Delta Air Lines,0,"Minneapolis, Minnesota",non
2018,26 Feb 2018,Beechcraft A100 King Air,C-GJXF,Strait Air,0,"Havre-Saint-Pierre Airport, QC (YGV)",sub
2018,28 Feb 2018,Airbus A320-214,ES-SAN,SmartLynx Airlines Estonia,0,Tallinn-Lennart Meri Airport (TLL),sub
2018,1 Mar 2018,Beechcraft 200 Super King Air,YV1909,Unknown,0,Charallave-Óscar Machado Zuloaga Airport (SVCS),sub
2018,4 Mar 2018,Boeing 737-322 (SF),9S-ASG,Serve Air,0,Lubumbashi International Airport (FBM),sub
2018,6 Mar 2018,Antonov An-26,RF-92955/52,Russian Air Force,39,"0,5 km from Latakia-Khmeimim Air Base (LTK)",w/o
2018,10 Mar 2018,Learjet 31,N500MP,N500MP LLC,0,"Mount Pleasant Municipal Airport, MI (KMOP)",sub
2018,11 Mar 2018,Bombardier CL-600-2B16 Challenger 604,TC-TRB,MC Aviation,11,130 km SW of Shahr-e Kurd,w/o
2018,12 Mar 2018,de Havilland Canada DHC-8-402Q Dash 8,S2-AGU,US-Bangla Airlines,51,Kathmandu-Tribhuvan Airport (KTM),w/o
2018,14 Mar 2018,Boeing 777-31HER,A6-EGU,Emirates,1,Entebbe Airport (EBB/HUEN),non
2018,15 Mar 2018,Cessna 208 Caravan I,VH-PGA,West Coast Air Services,0,"Talbot Bay, WA",w/o
2018,15 Mar 2018,Beechcraft B200 Super King Air,YV3284 ?,Unknown,0,"near Blue Creek, Orange Walk Town",w/o
2018,16 Mar 2018,Beechcraft C99 Commuter,N213AV,Ameriflight,0,"Hastings Airport, NE (HSI)",sub
2018,17 Mar 2018,Canadair CL-600-2B19 Regional Jet CRJ-200ER,C-FDJA,"Air Canada Express, opb Jazz Aviation",0,"Montreal-Pierre Elliott Trudeau International Airport, QC (YUL)",sub
2018,20 Mar 2018,de Havilland Canada DHC-6 Twin Otter 300,N716JP,Bald Mountain Air Services,0,"225 km N of Deadhorse, AK",sub
2018,21 Mar 2018,Gulfstream V,N90JE,Peyton Holdings LLC,0,"Miami, Florida",non
2018,22 Mar 2018,Airbus A320-232,VH-...,,0,"near Cairns, QLD",non
2018,23 Mar 2018,Boeing 737-8K5 (WL),OK-TVP,"SmartWings, opf Israir",0,Budapest Ferenc Liszt International Airport (BUD/LHBP),non
2018,26 Mar 2018,CASA C-212 Aviocar 200,N107BH,Bighorn Airways,0,"Sheridan Airport, WY (SHR)",sub
2018,26 Mar 2018,CASA C-212 Aviocar,N217BH,Bighorn Airways,0,"Sheridan Airport, WY (SHR)",unk
2018,27 Mar 2018,Airbus A319-111,G-EZMK,easyJet,0,Murcia-San Javier Airport (MJV),sub
2018,28 Mar 2018,Boeing 767-3Q8ER,4X-EAK,El Al Israel Airlines,0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),sub
2018,28 Mar 2018,Boeing 737-76J (WL),D-ABLB,Germania,0,Tel Aviv-Ben Gurion International Airport (TLV/LLBG),sub
2018,29 Mar 2018,Beechcraft 99 Airliner,N31TN,Lake Clark Air,0,"Pilot Point Airport, AK (PIP)",sub
2018,29 Mar 2018,ATR 42-500,XA-UAV,Aeromar,0,Mexico City-Benito Juárez International Airport (MEX),sub
2018,29 Mar 2018,ATR 72-600 (72-212A),XA-UYY,Aeromar,0,Mexico City-Benito Juárez International Airport (MEX),sub
2018,29 Mar 2018,Fairchild SA227-DC Metro 23,CP-2459,Línea Aérea Amaszonas,0,Riberalta-Capitán Av. Selin Zeitun Lopez Airport (RIB),sub
2018,30 Mar 2018,Antonov An-12BK,UR-KDM,Cavok Air,0,Gao Airport (GAQ),sub
2018,30 Mar 2018,Cessna 650 Citation III,N126MT,2M Leasing LLC,0,"Orlando-Central Florida Regional Airport, FL (SFB)",sub
2018,31 Mar 2018,Cessna 208B Grand Caravan,N9339B,Skydive the Ranch,0,"near Gardiner Airport, NY",sub
2018,2 Apr 2018,Cessna 525C Citation CJ4,N511AC,Avis Industrial Corporation,0+2,"Marion Municipal Airport, IN (MZZ)",sub
2018,4 Apr 2018,Dassault Falcon 2000EX,XA-CDT,Unknown,0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
2018,4 Apr 2018,Learjet 60,N759SH,Henning Aviation LLC,0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
2018,4 Apr 2018,Cessna 560XL Citation Excel,N900WL,MTC Enterprises LLC,0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
2018,4 Apr 2018,Learjet 40XR,N626FX,Union Gas Air Ventures I LLC,0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
2018,4 Apr 2018,Learjet 45XR,N618CW,ERG Holdings LLC,0,"Houston-William P. Hobby Airport, TX (HOU)",w/o
2018,5 Apr 2018,Antonov An-26,UP-AN607,Mega Aircompany,0,Wau Airport (WUU),unk
2018,9 Apr 2018,Beechcraft 200 Super King Air,LN-NOA,Airwing,0,Stavanger-Sola Airport (SVG),sub
2018,9 Apr 2018,Boeing 737-9B5,HL7725,Korean Air,0,Osaka-Kansai International Airport (KIX),sub
2018,11 Apr 2018,Cessna 208B Grand Caravan,N814GV,"Hageland Aviation Services, opf Ravn Connect",0,"3,2 km N of Atqasuk Airport, AK (ATK)",sub
2018,11 Apr 2018,Ilyushin Il-76TD,7T-WIV,Al Quwwat al-Jawwiya al-Jaza'eriya,257,near Boufarik Air Base,w/o
2018,12 Apr 2018,Cessna 208B Grand Caravan,5Y-SAV,Penial Air,0,"El Barde, Somalia - Wajir, Kenya",sub
2018,13 Apr 2018,Lockheed P-3C Orion,158567,United States Navy,0,"near Omaha, NE",w/o
2018,14 Apr 2018,Antonov An-74-200,EK-74036,Ayk Avia,0,Akola village,sub
2018,15 Apr 2018,Saab 340B,C-GTWK,Transwest Air,0,"Prince Albert Airport, SK (YPA)",sub
2018,15 Apr 2018,de Havilland Canada DHC-6 Twin Otter 100,C-FSCA,Transwest Air,0,"Prince Albert Airport, SK (YPA)",sub
2018,15 Apr 2018,Bombardier CL-600-2B16 Challenger 605,C-FXWT,Morningstar Partners Ltd.,0,"Winnipeg-James Armstrong Richardson International Airport, MB (YWG)",sub
2018,15 Apr 2018,Cessna 550 Citation Bravo,N4AT,Private,0,"Winnipeg-James Armstrong Richardson International Airport, MB (YWG)",sub
